"";"NeighborhoodRaw";"ApartmentTypeRaw";"HouseType";"SquareMeters";"Price";"PricePerSquareMeters";"YearBuilt";"FloorRaw";"ElevatorRaw";"ConditionRaw";"EnergyClassificationRaw";"NeighborhoodKeys";"NeighborhoodFinalized";"ApartmentTypeUniformized";"NumberOfRooms";"SaunaDummy";"ownFloor";"maxFloor";"ElevatorDummy";"ConditionUnrecordedDummy";"ConditionAdequateDummy";"ConditionGoodDummy";"AgeOfTheBuilding";"EnergyClassificationLetterClass";"EnergyClassificationADummy";"EnergyClassificationBDummy";"EnergyClassificationCDummy";"EnergyClassificationDDummy";"EnergyClassificationEDummy";"EnergyClassificationFDummy";"EnergyClassificationUnrecordedDummy";"ownFloor.fixed";"TwoRoomsDummy";"ThreeRoomsDummy";"FourRoomsOrMoreDummy"
"1";"Pohjois-haaga";"1 h, kk, kph";"kt";24,5;132000;5388;1956;"9/10";"on";"tyyd.";"E2018";"pohjois-haaga";"Haaga";"1h+kk+kph";1;0;9;10;1;0;1;0;62;"E";0;0;0;0;1;0;0;9;0;0;0
"2";"Taka-töölö";"1h, kk, alk., kh";"kt";32;240000;7500;1937;"2/6";"on";"tyyd.";"E2007";"taka-töölö";"Taka-Töölö";"1h+kk+alk.+kh";1;0;2;6;1;0;1;0;81;"E";0;0;0;0;1;0;0;2;0;0;0
"3";"Punavuori";"1h, kk, kph";"kt";25;210000;8400;1952;"5/4";"on";"tyyd.";"";"punavuori";"Punavuori";"1h+kk+kph";1;0;5;4;1;0;1;0;66;"";0;0;0;0;0;0;1;5;0;0;0
"4";"Sörnäinen";"1h+tk+s";"kt";39;233000;5974;1939;"5/8";"on";"hyvä";"E2013";"sörnäinen";"Sörnäinen";"1h+tk+s";1;1;5;8;1;0;0;1;79;"E";0;0;0;0;1;0;0;5;0;0;0
"5";"Kallio";"1h, kk, kph";"kt";19,5;154000;7897;1907;"2/4";"ei";"hyvä";"F2013";"kallio";"Kallio";"1h+kk+kph";1;0;2;4;0;0;0;1;111;"F";0;0;0;0;0;1;0;2;0;0;0
"6";"Harju";"1h+ks+kh+et";"kt";20;109000;5450;1941;"1/4";"on";"huono";"";"harju";"Alppiharju";"1h+ks+kh+et";1;0;1;4;1;0;0;0;77;"";0;0;0;0;0;0;1;1;0;0;0
"7";"Etelä-haaga";"1h, kk, kph, pa...";"kt";25;186000;7440;1961;"2/3";"ei";"hyvä";"F2013";"etelä-haaga";"Haaga";"1h+kk+kph+pa...";1;0;2;3;0;0;0;1;57;"F";0;0;0;0;0;1;0;2;0;0;0
"8";"Etelä-haaga";"1h, kk, kph";"kt";32,5;188000;5785;1961;"2/4";"on";"tyyd.";"D2007";"etelä-haaga";"Haaga";"1h+kk+kph";1;0;2;4;1;0;1;0;57;"D";0;0;0;1;0;0;0;2;0;0;0
"9";"Sörnäinen";"1h, avokeitti...";"kt";33;236000;7152;1927;"5/7";"on";"tyyd.";"D2007";"sörnäinen";"Sörnäinen";"1h+avokeitti...";1;0;5;7;1;0;1;0;91;"D";0;0;0;1;0;0;0;5;0;0;0
"10";"Kluuvi";"1h, k, kph";"kt";40;350000;8750;1906;"2/4";"ei";"hyvä";"G2013";"kluuvi";"Kluuvi";"1h+k+kph";1;0;2;4;0;0;0;1;112;"G";0;0;0;0;0;0;0;2;0;0;0
"11";"Kallio";"1h, k, kph, eri...";"kt";42;228000;5429;1937;"6/7";"on";"tyyd.";"D2007";"kallio";"Kallio";"1h+k+kph+eri...";1;0;6;7;1;0;1;0;81;"D";0;0;0;1;0;0;0;6;0;0;0
"12";"Meilahti";"1h, kk, kph";"kt";21;173500;8262;1945;"3/7";"on";"hyvä";"E2013";"meilahti";"Meilahti";"1h+kk+kph";1;0;3;7;1;0;0;1;73;"E";0;0;0;0;1;0;0;3;0;0;0
"13";"Torkkelinmäki";"1h+kk+kph";"kt";26;214000;8231;1928;"2/4";"ei";"hyvä";"F2007";"torkkelinmäki";"Kallio";"1h+kk+kph";1;0;2;4;0;0;0;1;90;"F";0;0;0;0;0;1;0;2;0;0;0
"14";"Kallio";"1h, kk, alk, kph";"kt";29;174000;6000;1939;"3/7";"on";"hyvä";"E2013";"kallio";"Kallio";"1h+kk+alk+kph";1;0;3;7;1;0;0;1;79;"E";0;0;0;0;1;0;0;3;0;0;0
"15";"Punavuori";"1h, k, eteinen,...";"kt";36,9;257000;6965;1910;"1/4";"ei";"hyvä";"E2007";"punavuori";"Punavuori";"1h+k+eteinen+...";1;0;1;4;0;0;0;1;108;"E";0;0;0;0;1;0;0;1;0;0;0
"16";"Herttoniemi";"1h, k, kph, vh";"kt";40;142000;3550;1960;"4/4";"ei";"tyyd.";"F";"herttoniemi";"Herttoniemi";"1h+k+kph+vh";1;0;4;4;0;0;1;0;58;"F";0;0;0;0;0;1;0;4;0;0;0
"17";"Kuninkaantammi";"1h, kt, lasitet...";"kt";29,5;172000;5831;2018;"3/4";"ei";"hyvä";"C2013";"kuninkaantammi";"Kaarela";"1h+kt+lasitet...";1;0;3;4;0;0;0;1;0;"C";0;0;1;0;0;0;0;3;0;0;0
"18";"Malminkartano";"1h+kk+s";"kt";33;129000;3909;1987;"3/3";"ei";"hyvä";"";"malminkartano";"Kaarela";"1h+kk+s";1;1;3;3;0;0;0;1;31;"";0;0;0;0;0;0;1;3;0;0;0
"19";"Käpylä";"1-2 h, kk, p";"kt";41;215000;5244;1940;"2/3";"ei";"hyvä";"G2013";"käpylä";"Käpylä";"1-2h+kk+p";2;0;2;3;0;0;0;1;78;"G";0;0;0;0;0;0;0;2;1;0;0
"20";"Lassila";"1h, kk, alkovi,...";"kt";31;152000;4903;1984;"4/5";"on";"tyyd.";"D2007";"lassila";"Haaga";"1h+kk+alkovi+...";1;0;4;5;1;0;1;0;34;"D";0;0;0;1;0;0;0;4;0;0;0
"21";"Vallila";"1h,kk,kph, alkovi";"kt";25,5;157000;6157;1940;"4/4";"ei";"tyyd.";"";"vallila";"Vallila";"1h+kk+kph+alkovi";1;0;4;4;0;0;1;0;78;"";0;0;0;0;0;0;1;4;0;0;0
"22";"Etu-töölö";"1h, alkovi, k, ...";"kt";35;252500;7214;1928;"5/6";"on";"tyyd.";"D2012";"etu-töölö";"Etu-Töölö";"1h+alkovi+k+...";1;0;5;6;1;0;1;0;90;"D";0;0;0;1;0;0;0;5;0;0;0
"23";"Herttoniemi";"1h, k";"kt";42;203000;4833;1955;"1/4";"ei";"hyvä";"";"herttoniemi";"Herttoniemi";"1h+k";1;0;1;4;0;0;0;1;63;"";0;0;0;0;0;0;1;1;0;0;0
"24";"Etu-töölö";"1 h, avokeitti&...";"kt";24;207000;8625;1928;"3/6";"on";"tyyd.";"C2007";"etu-töölö";"Etu-Töölö";"1h+avokeitti&...";1;0;3;6;1;0;1;0;90;"C";0;0;1;0;0;0;0;3;0;0;0
"25";"Kruununhaka";"1h, kk, wc, kh";"kt";24;195000;8125;1886;"2/5";"on";"tyyd.";"F2013";"kruununhaka";"Kruununhaka";"1h+kk+wc+kh";1;0;2;5;1;0;1;0;132;"F";0;0;0;0;0;1;0;2;0;0;0
"26";"Punavuori";"1h,kk,kph";"kt";25;197500;7900;1959;"6/7";"ei";"tyyd.";"";"punavuori";"Punavuori";"1h+kk+kph";1;0;6;7;0;0;1;0;59;"";0;0;0;0;0;0;1;6;0;0;0
"27";"Kallio";"1h, avok., alkovi";"kt";26,5;177000;6679;1937;"5/7";"on";"tyyd.";"E2007";"kallio";"Kallio";"1h+avok.+alkovi";1;0;5;7;1;0;1;0;81;"E";0;0;0;0;1;0;0;5;0;0;0
"28";"Alppila";"1h, k";"kt";36;245000;6806;1927;"6/7";"on";"tyyd.";"F2013";"alppila";"Alppila";"1h+k";1;0;6;7;1;0;1;0;91;"F";0;0;0;0;0;1;0;6;0;0;0
"29";"Vallila";"1h,k,kh";"kt";37;223000;6027;1938;"4/5";"on";"tyyd.";"E2007";"vallila";"Vallila";"1h+k+kh";1;0;4;5;1;0;1;0;80;"E";0;0;0;0;1;0;0;4;0;0;0
"30";"Toukola";"1h, k, kph";"kt";40;202000;5050;1927;"2/2";"ei";"tyyd.";"";"toukola";"Toukola";"1h+k+kph";1;0;2;2;0;0;1;0;91;"";0;0;0;0;0;0;1;2;0;0;0
"31";"Kallio";"1h,kk,kph";"kt";29,5;221500;7508;1962;"5/8";"on";"hyvä";"E2013";"kallio";"Kallio";"1h+kk+kph";1;0;5;8;1;0;0;1;56;"E";0;0;0;0;1;0;0;5;0;0;0
"32";"Kontula";"1h,kk";"kt";31,5;120001;3810;1966;"2/8";"on";"huono";"G2007";"kontula";"Mellunkylä";"1h+kk";1;0;2;8;1;0;0;0;52;"G";0;0;0;0;0;0;0;2;0;0;0
"33";"Vallila";"1h, alkovi, k, ...";"kt";43,7;266000;6087;1926;"3/4";"ei";"hyvä";"E2007";"vallila";"Vallila";"1h+alkovi+k+...";1;0;3;4;0;0;0;1;92;"E";0;0;0;0;1;0;0;3;0;0;0
"35";"Töölö";" 1h, kk, parvi,...";"kt";22;190000;8636;1939;"6/6";"on";"tyyd.";"F2017";"töölö";"Etu-Töölö";"1h+kk+parvi+...";1;0;6;6;1;0;1;0;79;"F";0;0;0;0;0;1;0;6;0;0;0
"36";"Kamppi";"1h, kk, kh";"kt";24;234000;9750;1936;"4/4";"on";"hyvä";"E2007";"kamppi";"Kamppi";"1h+kk+kh";1;0;4;4;1;0;0;1;82;"E";0;0;0;0;1;0;0;4;0;0;0
"37";"Taka-töölö";"1h, kk, kph";"kt";28;198000;7071;1938;"1/6";"on";"hyvä";"F2013";"taka-töölö";"Taka-Töölö";"1h+kk+kph";1;0;1;6;1;0;0;1;80;"F";0;0;0;0;0;1;0;1;0;0;0
"38";"Etelä-haaga";"1h+kk+kph+lasit...";"kt";30;164616;5487;1960;"3/3";"ei";"tyyd.";"D2018";"etelä-haaga";"Haaga";"1h+kk+kph+lasit...";1;0;3;3;0;0;1;0;58;"D";0;0;0;1;0;0;0;3;0;0;0
"39";"Kamppi hietalahti";"1h+alkovi+k+kph...";"kt";61;494754;8111;1926;"5/5";"ei";"hyvä";"";"kamppi hietalahti";"Kamppi";"1h+alkovi+k+kph...";1;0;5;5;0;0;0;1;92;"";0;0;0;0;0;0;1;5;0;0;0
"40";"Harju";"1 H , kk, vh, w...";"kt";26;169000;6500;1938;"3/6";"on";"hyvä";"F2013";"harju";"Alppiharju";"1h+kk+vh+w...";1;0;3;6;1;0;0;1;80;"F";0;0;0;0;0;1;0;3;0;0;0
"41";"Etelä-haaga";"1h, kk,kph. Las...";"kt";27;180000;6667;1962;"3/4";"ei";"tyyd.";"D2007";"etelä-haaga";"Haaga";"1h+kk+kph.las...";1;0;3;4;0;0;1;0;56;"D";0;0;0;1;0;0;0;3;0;0;0
"42";"Töölö";"1h, alkovi, kk,...";"kt";32;250600;7831;1937;"5/6";"on";"hyvä";"E2013";"töölö";"Etu-Töölö";"1h+alkovi+kk+...";1;0;5;6;1;0;0;1;81;"E";0;0;0;0;1;0;0;5;0;0;0
"43";"Kallio";"1h+kk";"kt";26;176000;6769;1962;"6/7";"on";"hyvä";"F2013";"kallio";"Kallio";"1h+kk";1;0;6;7;1;0;0;1;56;"F";0;0;0;0;0;1;0;6;0;0;0
"45";"Katajanokka";"1h+kk+s";"kt";34,5;225000;6522;1982;"1/4";"on";"tyyd.";"F2007";"katajanokka";"Katajanokka";"1h+kk+s";1;1;1;4;1;0;1;0;36;"F";0;0;0;0;0;1;0;1;0;0;0
"46";"Alppiharju";"1 H";"kt";24;195000;8125;1929;"4/6";"on";"hyvä";"D2007";"alppiharju";"Alppiharju";"1h";1;0;4;6;1;0;0;1;89;"D";0;0;0;1;0;0;0;4;0;0;0
"47";"Katajanokka";"1h+k+kph";"kt";39;257000;6590;1902;"2/6";"ei";"hyvä";"";"katajanokka";"Katajanokka";"1h+k+kph";1;0;2;6;0;0;0;1;116;"";0;0;0;0;0;0;1;2;0;0;0
"48";"Vallila";"1h, k, kph, vh";"kt";45,7;226000;4945;1925;"2/5";"ei";"hyvä";"E2013";"vallila";"Vallila";"1h+k+kph+vh";1;0;2;5;0;0;0;1;93;"E";0;0;0;0;1;0;0;2;0;0;0
"49";"Vallila";"1h,kk,kph";"kt";25,3;177896;7031;1928;"2/5";"ei";"hyvä";"";"vallila";"Vallila";"1h+kk+kph";1;0;2;5;0;0;0;1;90;"";0;0;0;0;0;0;1;2;0;0;0
"50";"Etu-töölö";"1h, kk, kph";"kt";29;245000;8448;1936;"2/6";"on";"tyyd.";"G";"etu-töölö";"Etu-Töölö";"1h+kk+kph";1;0;2;6;1;0;1;0;82;"G";0;0;0;0;0;0;0;2;0;0;0
"51";"Käpylä";"1h+k+p";"kt";38;215000;5658;1956;"1/4";"ei";"tyyd.";"F";"käpylä";"Käpylä";"1h+k+p";1;0;1;4;0;0;1;0;62;"F";0;0;0;0;0;1;0;1;0;0;0
"52";"Siltasaari";"1h, avokeitti...";"kt";19;190000;10000;1927;"3/3";"ei";"tyyd.";"D2007";"siltasaari";"Kallio";"1h+avokeitti...";1;0;3;3;0;0;1;0;91;"D";0;0;0;1;0;0;0;3;0;0;0
"53";"Töölö";"1h, avok, kph, wc";"kt";31,7;240000;7571;1924;"6/6";"on";"tyyd.";"D2013";"töölö";"Etu-Töölö";"1h+avok+kph+wc";1;0;6;6;1;0;1;0;94;"D";0;0;0;1;0;0;0;6;0;0;0
"54";"Etelä-haaga";"1h, k, kph, las...";"kt";33,5;195000;5821;1973;"4/4";"on";"tyyd.";"D2018";"etelä-haaga";"Haaga";"1h+k+kph+las...";1;0;4;4;1;0;1;0;45;"D";0;0;0;1;0;0;0;4;0;0;0
"55";"Alppiharju";"1 h + k";"kt";33,5;196000;5851;1928;"4/5";"ei";"tyyd.";"F2013";"alppiharju";"Alppiharju";"1h+k";1;0;4;5;0;0;1;0;90;"F";0;0;0;0;0;1;0;4;0;0;0
"56";"Kamppi";"1h, avok, kph, ...";"kt";37;245000;6622;1940;"3/4";"on";"huono";"F2013";"kamppi";"Kamppi";"1h+avok+kph+...";1;0;3;4;1;0;0;0;78;"F";0;0;0;0;0;1;0;3;0;0;0
"57";"Pasila";"1h+kt";"kt";30;183281;6109;2019;"5/8";"on";"hyvä";"C2007";"pasila";"Pasila";"1h+kt";1;0;5;8;1;0;0;1;-1;"C";0;0;1;0;0;0;0;5;0;0;0
"58";"Heikinlaakso";"1h+k+s+kph+piha";"rt";38;127400;3353;1983;"1/1";"ei";"tyyd.";"E2007";"heikinlaakso";"Suurmetsä";"1h+k+s+kph+piha";1;1;1;1;0;0;1;0;35;"E";0;0;0;0;1;0;0;1;0;0;0
"59";"Roihuvuori";"1h, kk, kph, va...";"kt";24;122000;5083;1957;"1/4";"on";"tyyd.";"F";"roihuvuori";"Herttoniemi";"1h+kk+kph+va...";1;0;1;4;1;0;1;0;61;"F";0;0;0;0;0;1;0;1;0;0;0
"60";"Pihlajisto";"1h, kk, p";"kt";33;119000;3606;1975;"1/7";"on";"tyyd.";"D2007";"pihlajisto";"Malmi";"1h+kk+p";1;0;1;7;1;0;1;0;43;"D";0;0;0;1;0;0;0;1;0;0;0
"61";"Puotila";"1h, kk, kph, pa...";"kt";33;131000;3970;1961;"3/3";"ei";"tyyd.";"D2007";"puotila";"Vartiokylä";"1h+kk+kph+pa...";1;0;3;3;0;0;1;0;57;"D";0;0;0;1;0;0;0;3;0;0;0
"62";"Sörnäinen";"1h+kk";"kt";23,5;155000;6596;1965;"4/7";"on";"tyyd.";"";"sörnäinen";"Sörnäinen";"1h+kk";1;0;4;7;1;0;1;0;53;"";0;0;0;0;0;0;1;4;0;0;0
"63";"Sörnäinen";"1h, avok, kph";"kt";26;201000;7731;1927;"7/7";"on";"tyyd.";"";"sörnäinen";"Sörnäinen";"1h+avok+kph";1;0;7;7;1;0;1;0;91;"";0;0;0;0;0;0;1;7;0;0;0
"64";"Punavuori";"1h+kk";"kt";30;184000;6133;1961;"3/5";"on";"tyyd.";"E2013";"punavuori";"Punavuori";"1h+kk";1;0;3;5;1;0;1;0;57;"E";0;0;0;0;1;0;0;3;0;0;0
"65";"Punavuori";"1h, k, parvi, k...";"kt";31;260000;8387;1911;"3/5";"ei";"tyyd.";"F";"punavuori";"Punavuori";"1h+k+parvi+k...";1;0;3;5;0;0;1;0;107;"F";0;0;0;0;0;1;0;3;0;0;0
"66";"Vallila";"1h+k+kph";"kt";32;215000;6719;1929;"2/3";"ei";"hyvä";"";"vallila";"Vallila";"1h+k+kph";1;0;2;3;0;0;0;1;89;"";0;0;0;0;0;0;1;2;0;0;0
"67";"Jätkäsaari";"1h+kt";"kt";32;223680;6990;2019;"4/7";"on";"hyvä";"B2018";"jätkäsaari";"Länsisatama";"1h+kt";1;0;4;7;1;0;0;1;-1;"B";0;1;0;0;0;0;0;4;0;0;0
"68";"Kallio";"1h,k,alk";"kt";40;205510;5138;1928;"1/7";"on";"huono";"F2013";"kallio";"Kallio";"1h+k+alk";1;0;1;7;1;0;0;0;90;"F";0;0;0;0;0;1;0;1;0;0;0
"69";"Herttoniemi";"1 h, kk, kh, vh";"kt";28,5;160101;5618;1956;"1/4";"ei";"tyyd.";"F2013";"herttoniemi";"Herttoniemi";"1h+kk+kh+vh";1;0;1;4;0;0;1;0;62;"F";0;0;0;0;0;1;0;1;0;0;0
"70";"Puotinharju";"1h+kk+alk.";"kt";29;98000;3379;1964;"4/7";"on";"tyyd.";"D";"puotinharju";"Vartiokylä";"1h+kk+alk.";1;0;4;7;1;0;1;0;54;"D";0;0;0;1;0;0;0;4;0;0;0
"71";"Vallila";"1h, k, kph";"kt";32,2;198500;6165;1925;"2/5";"ei";"hyvä";"E2013";"vallila";"Vallila";"1h+k+kph";1;0;2;5;0;0;0;1;93;"E";0;0;0;0;1;0;0;2;0;0;0
"72";"Pasila";"1h+kt";"kt";34;214978;6323;2019;"7/8";"on";"hyvä";"C2007";"pasila";"Pasila";"1h+kt";1;0;7;8;1;0;0;1;-1;"C";0;0;1;0;0;0;0;7;0;0;0
"73";"Ullanlinna";"1h, parvi, avok...";"kt";24,1;222000;9212;1904;"2/3";"ei";"hyvä";"G2008";"ullanlinna";"Ullanlinna";"1h+parvi+avok...";1;0;2;3;0;0;0;1;114;"G";0;0;0;0;0;0;0;2;0;0;0
"74";"Munkkiniemi";"1h+kk+kph+parv";"kt";25;179000;7160;1958;"7/7";"on";"tyyd.";"D2007";"munkkiniemi";"Munkkiniemi";"1h+kk+kph+parv";1;0;7;7;1;0;1;0;60;"D";0;0;0;1;0;0;0;7;0;0;0
"75";"Sörnäinen";"1h, kk, kph";"kt";28,5;192000;6737;1961;"8/8";"on";"tyyd.";"F";"sörnäinen";"Sörnäinen";"1h+kk+kph";1;0;8;8;1;0;1;0;57;"F";0;0;0;0;0;1;0;8;0;0;0
"76";"Malminkartano";"1 h, kk, kph, t...";"kt";34,5;130908;3794;1986;"4/4";"ei";"tyyd.";"E2018";"malminkartano";"Kaarela";"1h+kk+kph+t...";1;0;4;4;0;0;1;0;32;"E";0;0;0;0;1;0;0;4;0;0;0
"77";"Munkkiniemi";"1 h, ks, kh, p";"kt";24,5;160000;6531;1967;"3/7";"on";"tyyd.";"D2013";"munkkiniemi";"Munkkiniemi";"1h+ks+kh+p";1;0;3;7;1;0;1;0;51;"D";0;0;0;1;0;0;0;3;0;0;0
"78";"Kallio";"1h+kk+kph";"kt";26,5;208000;7849;1928;"3/3";"on";"hyvä";"G2013";"kallio";"Kallio";"1h+kk+kph";1;0;3;3;1;0;0;1;90;"G";0;0;0;0;0;0;0;3;0;0;0
"79";"Etelä-haaga";"1h+kk";"kt";24,5;165500;6755;1964;"3/3";"ei";"tyyd.";"G2018";"etelä-haaga";"Haaga";"1h+kk";1;0;3;3;0;0;1;0;54;"G";0;0;0;0;0;0;0;3;0;0;0
"80";"Puotila";"1h, kk, ransk.p...";"kt";26;127000;4885;1961;"2/3";"ei";"hyvä";"";"puotila";"Vartiokylä";"1h+kk+ransk.p...";1;0;2;3;0;0;0;1;57;"";0;0;0;0;0;0;1;2;0;0;0
"81";"Tapulikaupunki";"1h, kk, kph, vh, p";"kt";35;119000;3400;1977;"2/4";"ei";"tyyd.";"D";"tapulikaupunki";"Suutarila";"1h+kk+kph+vh+p";1;0;2;4;0;0;1;0;41;"D";0;0;0;1;0;0;0;2;0;0;0
"82";"Etelä-haaga";"1h + kk";"kt";25;179500;7180;1960;"2/3";"ei";"tyyd.";"G2013";"etelä-haaga";"Haaga";"1h+kk";1;0;2;3;0;0;1;0;58;"G";0;0;0;0;0;0;0;2;0;0;0
"83";"Kallio";"1h+k+kph";"kt";37,5;235000;6267;1937;"3/7";"on";"hyvä";"E2007";"kallio";"Kallio";"1h+k+kph";1;0;3;7;1;0;0;1;81;"E";0;0;0;0;1;0;0;3;0;0;0
"84";"Ullanlinna";"1h, avok, erill...";"kt";21;215000;10238;1927;"3/5";"on";"hyvä";"E2012";"ullanlinna";"Ullanlinna";"1h+avok+erill...";1;0;3;5;1;0;0;1;91;"E";0;0;0;0;1;0;0;3;0;0;0
"85";"Meilahti";"1h, kk";"kt";22;185000;8409;1945;"5/7";"on";"hyvä";"F2007";"meilahti";"Meilahti";"1h+kk";1;0;5;7;1;0;0;1;73;"F";0;0;0;0;0;1;0;5;0;0;0
"86";"Herttoniemi";"1h+k";"kt";34;210510;6191;1956;"3/4";"ei";"hyvä";"E2013";"herttoniemi";"Herttoniemi";"1h+k";1;0;3;4;0;0;0;1;62;"E";0;0;0;0;1;0;0;3;0;0;0
"87";"Aurinkolahti";"1h+avok+kph+s+l...";"kt";35,5;210000;5915;2004;"2/4";"on";"hyvä";"E2007";"aurinkolahti";"Vuosaari";"1h+avok+kph+s+l...";1;1;2;4;1;0;0;1;14;"E";0;0;0;0;1;0;0;2;0;0;0
"88";"Ullanlinna";"1h, alkovi, k, kph";"kt";36;318000;8833;1927;"2/3";"ei";"hyvä";"F2016";"ullanlinna";"Ullanlinna";"1h+alkovi+k+kph";1;0;2;3;0;0;0;1;91;"F";0;0;0;0;0;1;0;2;0;0;0
"89";"Kallio";"1h, kk, kph ja ...";"kt";21;144000;6857;1913;"2/6";"ei";"hyvä";"";"kallio";"Kallio";"1h+kk+kphja...";1;0;2;6;0;0;0;1;105;"";0;0;0;0;0;0;1;2;0;0;0
"90";"Kamppi";"1h, k";"kt";28;260000;9286;1937;"1/6";"on";"hyvä";"F2013";"kamppi";"Kamppi";"1h+k";1;0;1;6;1;0;0;1;81;"F";0;0;0;0;0;1;0;1;0;0;0
"91";"Puotinharju";"1h+ikk.kk+alk+kph";"kt";29;102000;3517;1964;"7/7";"on";"huono";"";"puotinharju";"Vartiokylä";"1h+ikk.kk+alk+kph";1;0;7;7;1;0;0;0;54;"";0;0;0;0;0;0;1;7;0;0;0
"92";"Kallio";"1h, kk";"kt";19;147000;7737;1940;"2/4";"ei";"tyyd.";"F";"kallio";"Kallio";"1h+kk";1;0;2;4;0;0;1;0;78;"F";0;0;0;0;0;1;0;2;0;0;0
"93";"Kallahti";"1h,kt,kph,parveke";"kt";64;350000;5469;2000;"6/7";"on";"hyvä";"E2018";"kallahti";"Vuosaari";"1h+kt+kph+parveke";1;0;6;7;1;0;0;1;18;"E";0;0;0;0;1;0;0;6;0;0;0
"94";"Etelä-haaga";"1h, kk, kph, ra...";"kt";28;182000;6500;1958;"3/3";"ei";"hyvä";"E";"etelä-haaga";"Haaga";"1h+kk+kph+ra...";1;0;3;3;0;0;0;1;60;"E";0;0;0;0;1;0;0;3;0;0;0
"95";"Etelä-haaga";"1h, k, kph, las...";"kt";32;190000;5938;1966;"3/3";"ei";"hyvä";"E2007";"etelä-haaga";"Haaga";"1h+k+kph+las...";1;0;3;3;0;0;0;1;52;"E";0;0;0;0;1;0;0;3;0;0;0
"96";"Pasila";"1h+kt";"kt";30;192962;6432;2019;"7/8";"on";"hyvä";"C2007";"pasila";"Pasila";"1h+kt";1;0;7;8;1;0;0;1;-1;"C";0;0;1;0;0;0;0;7;0;0;0
"97";"Kruununhaka";"1h+k";"kt";38;312000;8211;1989;"5/5";"on";"hyvä";"";"kruununhaka";"Kruununhaka";"1h+k";1;0;5;5;1;0;0;1;29;"";0;0;0;0;0;0;1;5;0;0;0
"98";"Kallio";"1h, ma, avok, kh";"kt";38,3;250000;6527;1928;"1/7";"on";"hyvä";"D2013";"kallio";"Kallio";"1h+ma+avok+kh";1;0;1;7;1;0;0;1;90;"D";0;0;0;1;0;0;0;1;0;0;0
"99";"Etu-töölö";"1h, kk";"kt";23;208000;9043;1934;"2/4";"on";"tyyd.";"F2013";"etu-töölö";"Etu-Töölö";"1h+kk";1;0;2;4;1;0;1;0;84;"F";0;0;0;0;0;1;0;2;0;0;0
"100";"Etelä-haaga";"1h, kk, kph, al...";"kt";30;200000;6667;1958;"2/3";"ei";"tyyd.";"F2013";"etelä-haaga";"Haaga";"1h+kk+kph+al...";1;0;2;3;0;0;1;0;60;"F";0;0;0;0;0;1;0;2;0;0;0
"101";"Etu-töölö";"1h, kk, kph, parvi";"kt";21;221000;10524;1927;"3/7";"on";"hyvä";"";"etu-töölö";"Etu-Töölö";"1h+kk+kph+parvi";1;0;3;7;1;0;0;1;91;"";0;0;0;0;0;0;1;3;0;0;0
"102";"Alppila";"1h+k+parveke";"kt";31;242000;7806;2001;"7/7";"on";"hyvä";"";"alppila";"Alppila";"1h+k+parveke";1;0;7;7;1;0;0;1;17;"";0;0;0;0;0;0;1;7;0;0;0
"103";"Kallio";"1h,kk,kph";"kt";22;178000;8091;1927;"5/5";"on";"hyvä";"D2007";"kallio";"Kallio";"1h+kk+kph";1;0;5;5;1;0;0;1;91;"D";0;0;0;1;0;0;0;5;0;0;0
"104";"Punavuori";"1h,kk,kph ja al...";"kt";24;217000;9042;1959;"6/8";"on";"hyvä";"E2007";"punavuori";"Punavuori";"1h+kk+kphjaal...";1;0;6;8;1;0;0;1;59;"E";0;0;0;0;1;0;0;6;0;0;0
"105";"Munkkivuori";"1h, kk, kph, vh";"kt";31,7;162000;5110;1957;"2/4";"ei";"tyyd.";"";"munkkivuori";"Munkkiniemi";"1h+kk+kph+vh";1;0;2;4;0;0;1;0;61;"";0;0;0;0;0;0;1;2;0;0;0
"106";"Kruununhaka";"1h, k, kph, wc";"kt";41;280000;6829;1926;"7/7";"on";"hyvä";"G";"kruununhaka";"Kruununhaka";"1h+k+kph+wc";1;0;7;7;1;0;0;1;92;"G";0;0;0;0;0;0;0;7;0;0;0
"108";"Hermanni";"1h+kk";"kt";24;172000;7167;1957;"5/6";"on";"hyvä";"";"hermanni";"Hermanni";"1h+kk";1;0;5;6;1;0;0;1;61;"";0;0;0;0;0;0;1;5;0;0;0
"109";"Alppiharju";"1h, kt, kph, et...";"kt";22;180000;8182;1946;"6/6";"on";"hyvä";"";"alppiharju";"Alppiharju";"1h+kt+kph+et...";1;0;6;6;1;0;0;1;72;"";0;0;0;0;0;0;1;6;0;0;0
"110";"Etelä-haaga";"1 h+kk+kph+vh+p...";"kt";26;168000;6462;1961;"2/3";"ei";"hyvä";"F";"etelä-haaga";"Haaga";"1h+kk+kph+vh+p...";1;0;2;3;0;0;0;1;57;"F";0;0;0;0;0;1;0;2;0;0;0
"111";"Oulunkylä";"1h, kk, kph, al...";"kt";32;115000;3594;1972;"2/4";"ei";"hyvä";"E2007";"oulunkylä";"Oulunkylä";"1h+kk+kph+al...";1;0;2;4;0;0;0;1;46;"E";0;0;0;0;1;0;0;2;0;0;0
"112";"Kallio";"1h, alk, k, kph...";"kt";41;272000;6634;1935;"5/6";"on";"hyvä";"";"kallio";"Kallio";"1h+alk+k+kph...";1;0;5;6;1;0;0;1;83;"";0;0;0;0;0;0;1;5;0;0;0
