"";"NeighborhoodRaw";"ApartmentTypeRaw";"HouseType";"SquareMeters";"Price";"PricePerSquareMeters";"YearBuilt";"FloorRaw";"ElevatorRaw";"ConditionRaw";"EnergyClassificationRaw";"NeighborhoodKeys";"NeighborhoodFinalized";"ApartmentTypeUniformized";"NumberOfRooms";"SaunaDummy";"ownFloor";"maxFloor";"ElevatorDummy";"ConditionUnrecordedDummy";"ConditionAdequateDummy";"ConditionGoodDummy";"AgeOfTheBuilding";"EnergyClassificationLetterClass";"EnergyClassificationADummy";"EnergyClassificationBDummy";"EnergyClassificationCDummy";"EnergyClassificationDDummy";"EnergyClassificationEDummy";"EnergyClassificationFDummy";"EnergyClassificationUnrecordedDummy";"ownFloor.fixed";"TwoRoomsDummy";"ThreeRoomsDummy";"FourRoomsOrMoreDummy"
"2412";"Pukinmäki";"3h,  k, wc, kph...";"kt";78;205000;2628;1977;"3/3";"ei";"hyvä";"D2013";"pukinmäki";"Pukinmäki";"3h+k+wc+kph...";3;0;3;3;0;0;0;1;41;"D";0;0;0;1;0;0;0;3;0;1;0
"2413";"Lauttasaari";"3h, avokeitti...";"kt";60,8;380000;6250;1954;"2/4";"ei";"hyvä";"E2007";"lauttasaari";"Lauttasaari";"3h+avokeitti...";3;0;2;4;0;0;0;1;64;"E";0;0;0;0;1;0;0;2;0;1;0
"2414";"Katajanokka";"3h+kt+s";"kt";71;691200;9735;2018;"2/7";"on";"hyvä";"";"katajanokka";"Katajanokka";"3h+kt+s";3;1;2;7;1;0;0;1;0;"";0;0;0;0;0;0;1;2;0;1;0
"2415";"Savela";"3h, k, kph, vh,...";"kt";72,5;210000;2897;1986;"1/3";"ei";"hyvä";"";"savela";"Pukinmäki";"3h+k+kph+vh+...";3;0;1;3;0;0;0;1;32;"";0;0;0;0;0;0;1;1;0;1;0
"2416";"Etu-töölö";"3h+k+kp";"kt";78;548000;7026;1928;"2/6";"on";"hyvä";"C2007";"etu-töölö";"Etu-Töölö";"3h+k+kp";3;0;2;6;1;0;0;1;90;"C";0;0;1;0;0;0;0;2;0;1;0
"2418";"Pitäjänmäki";"3h, k, kph/wc, ...";"kt";83;305000;3675;1997;"4/5";"on";"tyyd.";"F2013";"pitäjänmäki";"Pitäjänmäki";"3h+k+kph/wc+...";3;0;4;5;1;0;1;0;21;"F";0;0;0;0;0;1;0;4;0;1;0
"2419";"Hietalahti";"3-4h+k+s+parv.";"kt";91;640000;7033;1989;"6/8";"on";"tyyd.";"E2007";"hietalahti";"Kamppi";"3-4h+k+s+parv.";4;1;6;8;1;0;1;0;29;"E";0;0;0;0;1;0;0;6;0;0;1
"2420";"Katajanokka";"3h,k,s";"kt";126,5;1260000;9960;2019;"3/7";"ei";"hyvä";"";"katajanokka";"Katajanokka";"3h+k+s";3;1;3;7;0;0;0;1;-1;"";0;0;0;0;0;0;1;3;0;1;0
"2421";"Munkkiniemi";"KT, 3h, k, kph,...";"kt";74,5;361000;4846;1973;"2/4";"on";"tyyd.";"F2007";"munkkiniemi";"Munkkiniemi";"kt+3h+k+kph+...";3;0;2;4;1;0;1;0;45;"F";0;0;0;0;0;1;0;2;0;1;0
"2422";"Heikinlaakso";"3h, k, kph, s, ...";"rt";80;310000;3875;1997;"1/1";"ei";"hyvä";"";"heikinlaakso";"Suurmetsä";"3h+k+kph+s+...";3;1;1;1;0;0;0;1;21;"";0;0;0;0;0;0;1;1;0;1;0
"2423";"Ramsinranta";"3h, k, kph, eri...";"rt";85;335000;3941;2008;"-1/2";"ei";"hyvä";"D";"ramsinranta";"Vuosaari";"3h+k+kph+eri...";3;0;-1;2;0;0;0;1;10;"D";0;0;0;1;0;0;0;2;0;1;0
"2424";"Koskela";"3h, k, kph, las...";"kt";73,8;180000;2439;1973;"1/3";"on";"tyyd.";"G";"koskela";"Koskela";"3h+k+kph+las...";3;0;1;3;1;0;1;0;45;"G";0;0;0;0;0;0;0;1;0;1;0
"2425";"Tapulikaupunki";"3h, k, 2x wc, k...";"kt";80;155000;1938;1982;"4/4";"ei";"tyyd.";"F";"tapulikaupunki";"Suutarila";"3h+k+2xwc+k...";3;0;4;4;0;0;1;0;36;"F";0;0;0;0;0;1;0;4;0;1;0
"2426";"Hietalahti";"3h, k, rt/halli...";"kt";110;685000;6227;1939;"4/7";"on";"hyvä";"F2014";"hietalahti";"Kamppi";"3h+k+rt/halli...";3;0;4;7;1;0;0;1;79;"F";0;0;0;0;0;1;0;4;0;1;0
"2427";"Etelä-haaga";"3h, k, kph, las...";"kt";62;324000;5226;1961;"2/3";"ei";"hyvä";"D2007";"etelä-haaga";"Haaga";"3h+k+kph+las...";3;0;2;3;0;0;0;1;57;"D";0;0;0;1;0;0;0;2;0;1;0
"2428";"Töölö";"3h, k, kph, p";"kt";68;430000;6324;1954;"3/6";"on";"hyvä";"C";"töölö";"Etu-Töölö";"3h+k+kph+p";3;0;3;6;1;0;0;1;64;"C";0;0;1;0;0;0;0;3;0;1;0
"2429";"Hermanni";"3h, k, kph, p";"kt";70;320000;4571;1956;"4/4";"on";"hyvä";"";"hermanni";"Hermanni";"3h+k+kph+p";3;0;4;4;1;0;0;1;62;"";0;0;0;0;0;0;1;4;0;1;0
"2430";"Etu-töölö";"3h, k , kph, wc";"kt";81;527000;6506;1928;"5/7";"ei";"hyvä";"";"etu-töölö";"Etu-Töölö";"3h+k+kph+wc";3;0;5;7;0;0;0;1;90;"";0;0;0;0;0;0;1;5;0;1;0
"2431";"Suutarila";"3 h, k, kph, s ...";"rt";81,5;234000;2871;1979;"1/2";"ei";"tyyd.";"D2013";"suutarila";"Suutarila";"3h+k+kph+s...";3;1;1;2;0;0;1;0;39;"D";0;0;0;1;0;0;0;1;0;1;0
"2432";"Katajanokka";"3-4h,kt,rt,s";"kt";138,5;1384719;9998;2019;"3/7";"ei";"hyvä";"";"katajanokka";"Katajanokka";"3-4h+kt+rt+s";4;1;3;7;0;0;0;1;-1;"";0;0;0;0;0;0;1;3;0;0;1
"2433";"Pohjois-haaga";"3 H, K, KPH, VH...";"kt";71,5;191000;2671;1973;"1/6";"ei";"hyvä";"";"pohjois-haaga";"Haaga";"3h+k+kph+vh...";3;0;1;6;0;0;0;1;45;"";0;0;0;0;0;0;1;1;0;1;0
"2434";"Kruununhaka";"3h+k+kph (+halli)";"kt";72;556600;7731;1910;"4/5";"ei";"hyvä";"";"kruununhaka";"Kruununhaka";"3h+k+kph(+halli)";3;0;4;5;0;0;0;1;108;"";0;0;0;0;0;0;1;4;0;1;0
"2435";"Herttoniemi";"3h+kt+s";"kt";74;328550;4440;2019;"2/7";"on";"hyvä";"C";"herttoniemi";"Herttoniemi";"3h+kt+s";3;1;2;7;1;0;0;1;-1;"C";0;0;1;0;0;0;0;2;0;1;0
"2436";"Reimarla";"3h, k, kph, vh,...";"kt";77;237000;3078;1972;"2/3";"ei";"hyvä";"F2013";"reimarla";"Pitäjänmäki";"3h+k+kph+vh+...";3;0;2;3;0;0;0;1;46;"F";0;0;0;0;0;1;0;2;0;1;0
"2437";"Kruununhaka";"3h+k+kph+erill.wc";"kt";73,6;607000;8247;1928;"4/6";"on";"hyvä";"F2016";"kruununhaka";"Kruununhaka";"3h+k+kph+erill.wc";3;0;4;6;1;0;0;1;90;"F";0;0;0;0;0;1;0;4;0;1;0
"2438";"Taka-töölö";"3h,halli,k,kph";"kt";68;425000;6250;1940;"3/3";"ei";"hyvä";"F";"taka-töölö";"Taka-Töölö";"3h+halli+k+kph";3;0;3;3;0;0;0;1;78;"F";0;0;0;0;0;1;0;3;0;1;0
"2439";"Mellunmäki";"3h, k, kph, p";"kt";70;125000;1786;1973;"4/5";"on";"hyvä";"";"mellunmäki";"Mellunkylä";"3h+k+kph+p";3;0;4;5;1;0;0;1;45;"";0;0;0;0;0;0;1;4;0;1;0
"2440";"Ullanlinna";"3h, avok, rt, kph";"kt";78;690000;8846;1926;"2/5";"on";"hyvä";"E2013";"ullanlinna";"Ullanlinna";"3h+avok+rt+kph";3;0;2;5;1;0;0;1;92;"E";0;0;0;0;1;0;0;2;0;1;0
"2441";"Munkkivuori";"3h+avokeitti...";"kt";72,2;325000;4501;1957;"3/4";"ei";"tyyd.";"";"munkkivuori";"Munkkiniemi";"3h+avokeitti...";3;0;3;4;0;0;1;0;61;"";0;0;0;0;0;0;1;3;0;1;0
"2442";"Vesala";"3h, k, s, terassi";"kt";73,5;186000;2531;1990;"1/5";"on";"hyvä";"";"vesala";"Mellunkylä";"3h+k+s+terassi";3;1;1;5;1;0;0;1;28;"";0;0;0;0;0;0;1;1;0;1;0
"2443";"Malmi";"3h+avokeitti...";"kt";77;320000;4156;2011;"4/6";"on";"hyvä";"C2013";"malmi";"Malmi";"3h+avokeitti...";3;0;4;6;1;0;0;1;7;"C";0;0;1;0;0;0;0;4;0;1;0
"2444";"Punavuori";"2h,kk,rt,kph,la...";"kt";78,5;553000;7045;2018;"-1/6";"on";"hyvä";"D2013";"punavuori";"Punavuori";"2h+kk+rt+kph+la...";2;0;-1;6;1;0;0;1;0;"D";0;0;0;1;0;0;0;6;1;0;0
"2445";"Rastila";"3h, k, kph, s, ...";"rt";81;255000;3148;1978;"1/1";"ei";" ";"";"rastila";"Vuosaari";"3h+k+kph+s+...";3;1;1;1;0;0;0;0;40;"";0;0;0;0;0;0;1;1;0;1;0
"2446";"Punavuori";"3h,k,s,kph,wc,vh";"kt";105;570000;5429;1913;"3/3";"ei";"tyyd.";"";"punavuori";"Punavuori";"3h+k+s+kph+wc+vh";3;1;3;3;0;0;1;0;105;"";0;0;0;0;0;0;1;3;0;1;0
"2447";"Vuosaari / rastilankallio";"3h, k, kph, wc,...";"kt";67,5;248000;3674;2001;"4/6";"ei";"tyyd.";"";"vuosaari / rastilankallio";"Vuosaari";"3h+k+kph+wc+...";3;0;4;6;0;0;1;0;17;"";0;0;0;0;0;0;1;4;0;1;0
"2448";"Roihuvuori";"3h, avok, kph/w...";"kt";70;200000;2857;1965;"1/5";"on";"tyyd.";"";"roihuvuori";"Herttoniemi";"3h+avok+kph/w...";3;0;1;5;1;0;1;0;53;"";0;0;0;0;0;0;1;1;0;1;0
"2449";"Kontula";"3h, k, kph, wc,...";"kt";73,5;130029;1769;1967;"6/7";"on";"hyvä";"E2007";"kontula";"Mellunkylä";"3h+k+kph+wc+...";3;0;6;7;1;0;0;1;51;"E";0;0;0;0;1;0;0;6;0;1;0
"2450";"Vuosaari";"3h + k";"kt";74;238000;3216;1968;"1/7";"on";" ";"E2007";"vuosaari";"Vuosaari";"3h+k";3;0;1;7;1;0;0;0;50;"E";0;0;0;0;1;0;0;1;0;1;0
"2451";"Pitäjänmäki";"3h+k+s+kph+eril...";"kt";96;545000;5677;2014;"6/7";"ei";"hyvä";"";"pitäjänmäki";"Pitäjänmäki";"3h+k+s+kph+eril...";3;1;6;7;0;0;0;1;4;"";0;0;0;0;0;0;1;6;0;1;0
"2452";"Punavuori";"3h,k,kph ja par...";"kt";67;485000;7239;1968;"4/6";"on";"hyvä";"F";"punavuori";"Punavuori";"3h+k+kphjapar...";3;0;4;6;1;0;0;1;50;"F";0;0;0;0;0;1;0;4;0;1;0
"2453";"Roihuvuori";"3h, kk";"kt";69,5;271900;3912;2017;"1/5";"on";"hyvä";"C";"roihuvuori";"Herttoniemi";"3h+kk";3;0;1;5;1;0;0;1;1;"C";0;0;1;0;0;0;0;1;0;1;0
"2454";"Kontula";"3h, k";"kt";73;124500;1705;1966;"1/5";"on";"tyyd.";"G";"kontula";"Mellunkylä";"3h+k";3;0;1;5;1;0;1;0;52;"G";0;0;0;0;0;0;0;1;0;1;0
"2455";"Kontula";"3h, keittiö...";"kt";71;112000;1577;1968;"7/8";"on";"tyyd.";"G2013";"kontula";"Mellunkylä";"3h+keittiö...";3;0;7;8;1;0;1;0;50;"G";0;0;0;0;0;0;0;7;0;1;0
"2456";"Etu-töölö";"3h, k";"kt";100;650500;6505;1927;"6/6";"on";"tyyd.";"F";"etu-töölö";"Etu-Töölö";"3h+k";3;0;6;6;1;0;1;0;91;"F";0;0;0;0;0;1;0;6;0;1;0
"2457";"Puotila";"3h,k,s,erill.wc...";"kt";80;310000;3875;2006;"1/3";"ei";"hyvä";"";"puotila";"Vartiokylä";"3h+k+s+erill.wc...";3;1;1;3;0;0;0;1;12;"";0;0;0;0;0;0;1;1;0;1;0
"2458";"Ullanlinna";"3h, k, kph, vh,...";"kt";70;632000;9029;1961;"7/8";"on";"hyvä";"F2014";"ullanlinna";"Ullanlinna";"3h+k+kph+vh+...";3;0;7;8;1;0;0;1;57;"F";0;0;0;0;0;1;0;7;0;1;0
"2459";"Lauttasaari";"3h, k, p";"kt";71,5;333000;4657;1977;"6/6";"on";"huono";"E2007";"lauttasaari";"Lauttasaari";"3h+k+p";3;0;6;6;1;0;0;0;41;"E";0;0;0;0;1;0;0;6;0;1;0
"2460";"Myllypuro";"3h+k+kph+wc+par...";"kt";75;207500;2767;1987;"2/2";"ei";"hyvä";"E";"myllypuro";"Vartiokylä";"3h+k+kph+wc+par...";3;0;2;2;0;0;0;1;31;"E";0;0;0;0;1;0;0;2;0;1;0
"2461";"Maunula";"3 h, k, kph, er...";"kt";76,8;210000;2734;1971;"4/4";"on";"tyyd.";"E2007";"maunula";"Oulunkylä";"3h+k+kph+er...";3;0;4;4;1;0;1;0;47;"E";0;0;0;0;1;0;0;4;0;1;0
"2462";"Viikki";"3H+K+S";"kt";77;299000;3883;2004;"4/6";"on";"hyvä";"E";"viikki";"Viikki";"3h+k+s";3;1;4;6;1;0;0;1;14;"E";0;0;0;0;1;0;0;4;0;1;0
"2463";"Kruununhaka";"3h, k, kph, wc";"kt";78,4;590500;7532;1913;"4/4";"on";"tyyd.";"";"kruununhaka";"Kruununhaka";"3h+k+kph+wc";3;0;4;4;1;0;1;0;105;"";0;0;0;0;0;0;1;4;0;1;0
"2464";"Taka-töölö";"3h, avokeitti...";"kt";79,5;494500;6220;1938;"1/6";"on";"hyvä";"E2007";"taka-töölö";"Taka-Töölö";"3h+avokeitti...";3;0;1;6;1;0;0;1;80;"E";0;0;0;0;1;0;0;1;0;1;0
"2465";"Punavuori";"3h,k,rt,kph,s,p...";"kt";80;844000;10550;2018;"6/6";"on";"hyvä";"D2013";"punavuori";"Punavuori";"3h+k+rt+kph+s+p...";3;1;6;6;1;0;0;1;0;"D";0;0;0;1;0;0;0;6;0;1;0
"2466";"Eiranranta";"3h, k, rt, kph,...";"kt";81,5;815000;10000;2008;"1/7";"on";"hyvä";"F2014";"eiranranta";"Länsisatama";"3h+k+rt+kph+...";3;0;1;7;1;0;0;1;10;"F";0;0;0;0;0;1;0;1;0;1;0
"2467";"Katajanokka";"3h+kt+s";"kt";88;760750;8645;2018;"2/7";"on";"hyvä";"";"katajanokka";"Katajanokka";"3h+kt+s";3;1;2;7;1;0;0;1;0;"";0;0;0;0;0;0;1;2;0;1;0
"2468";"Maunula";"3h,k,wc";"rt";156;425000;2724;1957;"1/2";"ei";"huono";"";"maunula";"Oulunkylä";"3h+k+wc";3;0;1;2;0;0;0;0;61;"";0;0;0;0;0;0;1;1;0;1;0
"2469";"Punavuori";"3h, avok, kph, ...";"kt";78,5;487500;6210;1971;"4/6";"ei";"hyvä";"";"punavuori";"Punavuori";"3h+avok+kph+...";3;0;4;6;0;0;0;1;47;"";0;0;0;0;0;0;1;4;0;1;0
"2470";"Punavuori";"3h,k,s, parveke";"kt";121;815000;6736;1891;"3/4";"ei";"hyvä";"";"punavuori";"Punavuori";"3h+k+s+parveke";3;1;3;4;0;0;0;1;127;"";0;0;0;0;0;0;1;3;0;1;0
"2471";"Meilahti";"3h, k, kph";"kt";67,5;428000;6341;1946;"2/6";"on";"hyvä";"E2015";"meilahti";"Meilahti";"3h+k+kph";3;0;2;6;1;0;0;1;72;"E";0;0;0;0;1;0;0;2;0;1;0
"2472";"Hakaniemi";"3h+k+kph";"kt";70;470500;6721;1928;"5/7";"on";"hyvä";"";"hakaniemi";"Kallio";"3h+k+kph";3;0;5;7;1;0;0;1;90;"";0;0;0;0;0;0;1;5;0;1;0
